nome,luogo di nascita,data di nascita,secolo
a Prato Giovanni,,,
a Prato Napoleone,,,
Abbondanzio,,Verso la meta del 300,300
Aconcio Jacopo,,,
Adelgiso,,Prima meta dell'800,800
Adelperone,,prima meta dell'XI secolo,1000
Adelpreto,,Fine dell'XI secolo,1000
Adelpreto di Ravenstein,Ravenstein (presso Bolzano),Seconda meta del 1100,1100
Adeodato I,,Seconda meta del 400,400
Adeodato II,,Prima meta del 500,500
Agnello,,Prima meta del 500,500
Alachi,,,
Alberti Lutti Francesca,,,
Alberto di Campo,Campo (valli Giudicarie),prima meta del 1100,1100
Alberto di Ortenburg,Ortenburg (Carinzia),Prima meta del 1300,1300
Alboino,,,
Aldrighetto di Campo,Campo (Valli Giudicarie),A cavallo tra il 1100 e il 1200,1200
Aldrighetto di Castelbarco ,,,
Alessandro,,,
Alessandro di Mazovia,Mazovia (Polonia),Seconda meta del 1300,1300
Alessandro Maria Gottardi,Venezia,30 aprile 1912,1900
Altemanno,Carinzia,A cavallo tra l'XI e il XII secolo,1100
Amatore,,Seconda meta del 700,700
Ambrosi Francesco,,,
Ammiano Marcellino,,,
Antonio da Trento,,,
Antonio Domenico Wolkenstein,,29 gennaio 1662,1600
Anzoletti Luisa,,,
Arcangeli Maurizio,Montecosaro (Macerata),1959,1900
Arduino d'Ivrea,,,
Arnaldo,sconosciuto (forse Pavia),Prima meta del 900,900
Arnoldo,,A cavallo tra l'XI e il XII secolo,1100
Aspidio,,Fine del 300,300
Asterio,,A cavallo tra il 400 e il 500,500
Attone,,Prima meta dell'XI secolo,1000
Avancini Augusto,,,
Bacchi Egidio,,,
Baldessari Iras Roberto,Innsbruck,26/01/1894,1800
Baldessari Luciano,,,
Baldessari Luciano,Rovereto,10/12/1896,1800
Barbacovi Francesco Vigilio,,,
Bartolomeo Bezzi,Fucine di Ossana,6 febbraio 1851,1800
Bartolomeo da Trento,,,
Bartolomeo Querini,Treviso,Intorno alla meta del 1200,1200
Battisti Cesare,Trento,4 febbraio 1875,1800
Battisti Gigino,Trento,1901,1900
Bazzanella Emanuele,,,
Beato Adelpreto,,Prima meta del 1100,1100
Belenzani Rodolfo,,,
Belli Pietro,,,
Benedetto da Trento,,,
Benedetto Riccabona,Cavalese,23 marzo 1807,1800
Berebgario I,,,
Bernardo,,Seconda meta dell'800,800
Bernardo Clesio,Cles,12 marzo 1485,1400
Bertaldo,,Seconda meta dell'800,800
Bertanza Giovanni,,,
"BERTOLLA, Bartolomeo Antonio",Mocenigo di Rumo (Valle di Non - Trento),13/05/1702,1700
Bettineschi Mariella,Brescia,1948,1900
Bittanti Battisti Ernesta,Brescia,1871,1800
Bonacina Carlo,Mestrino,29/09/1905,1900
Bonazza Luigi,Arco,01/02/1877,1800
Bonelli Benedetto,,,
Bonomi Agostino,,,
Bonporti Francesco Antonio,Trento,1672,1600
Bonvesin da Riva,,,
Borsieri Giovanni Battista,,,
Bresadola Giacomo,,,
Brugnara Luigi,,,
Bulow Bernhard von,,,
Cainelli Carlo,Rovereto,23/05/1896,1800
Calepino dei Calepini,,,
Canestrini Giovanni,Revo,1835,1800
Canestrini Giuseppe,,,
Carbonari,,,
Carlo Antonio de Martini,Revo,1726,1700
Carlo De Ferrari,Montechiaro (Val Venosta),2 ottobre 1885,1800
Carlo Emanuele Madruzzo,Castello d'Issogne (Val d'Aosta),5 novembre 1599,1500
Carlo Gaudenzio Madruzzo,Castello d'Issogne (Val d'Aosta),1562,1500
"Carlo IV, gia Carlo di Lussemburgo",,,
Carlo Magno,,,
Carlo V,,,
Carlo VI,,,
Carrega Ugo,Genova,17/08/1935,1900
Cassiodoro,,,
Cedino,,,
Celestino Endrici,Don,14 marzo 1866,1800
Cesarini Sforza Lamberto,Terlago,29/09/1864,1800
Chiari Giuseppe,Firenze,1926,1900
Chiesa Damiano,,,
Chini Eusebio Francesco,Segno,1645,1600
Chiocchetti Emilio,Moena,20/09/1880,1800
Ciani Giovanni,,,
Ciriaco,,Seconda meta del 400,400
Civettini Luciano,Trento,1967,1900
Claudia de' Medici,,,
Claudiano,,Seconda meta del 300,300
Clemenziano,,Verso la meta del 700,700
Cobelli Giovanni,,,
Cobelli Ruggero,,,
Colorio Bruno,Trento,1911,1900
Conci Elsa,Trento,23 marzo 1895,1800
Conci Enrico,Trento,1866,1800
Corenziano,,A cavallo fra il 600 e il 700,700
Corrado,,Seconda meta dell'800,800
Corrado di Beseno,Beseno,Verso la meta del 1100,1100
Corrado II,,,
Corsini Umberto,Trento,27/08/1914,1900
Costanzo,,,
Crali Tullio,Igalo,1910,1900
Credaro Luigi,,,
Cristoforo Madruzzo,Calavino,5 luglio 1512,1500
Cristoforo Sizzo de Noris,Trento,19 agosto 1706,1700
Cuniperto,,,
Dalla Bona Vittorio,,,
Dalvit Luigi,,,
Daniele,,Seconda meta del 700 ,700
De Bertolini Adolfo,,,
de Gaspari Gianbattista,,,
De Gentili Guido,,,
de Unterrichter Guido,,,
Degara Eliodoro,,,
Degasperi Alcide,Pieve Tesino (Trento),3 aprile 1881,1800
Degasperi Alfredo,,,
degli Avanzi Aurelia,,,
Delugan Giulio,,,
Depero Fortunato,Fondo,1892,1800
Desiderio Chilovi,Taio (Trento),23/05/1835,1800
Diaz Armando,,,
Dietl Hans,,,
Disertori Benvenuto,Trento,1887,1800
Disertori Beppino,,,
Domenico,,A cavallo tra il 500 e il 600,600
Domenico Antonio Thun,Trento,1 marzo 1686,1600
Dominatore,,Prima meta del 700,700
Dordi Carlo,,,
D'Ottavi Corrado,Roma,14/08/1934,1900
Ducati Angelo,,,
Eberardo,,A cavallo tra l'XI e il XII secolo,1100
Egnone di Appiano,Appiano,Prima meta del 1200,1200
Emanuele Maria Thun,Trento,28 marzo 1763,1700
Emer Dario,,,
Emert Giulio Benedetto,Trento,25/03/1894,1800
Enrico di Metz,Forse Metz (Alsazia),seconda meta del 1200,1200
Enrico I,,Prima meta dell'XI secolo,1000
Enrico II,,,
Enrico II,,Prima meta del 1200,1200
Erasmo da Rotterdam,,,
Ernesto Adalberto d'Harrach,,anno 1598,1500
Etlinger Amelia,Albany,1935,1900
Eugenio Carlo Valussi,Talmassons (Udine),10 febbraio 1837,1800
Eugippio,,A cavallo tra il 400 e il 500,500
Evino,,,
Ezzelino da Romano,,,
Falzolgher Nedda,,,
Fedele,,Prima meta del 400,400
Federico di Vanga,,Seconda meta del 1100,1100
Federico II di Svevia,,,
Federico IV Tascavuota,,,
Felice Fontana,Pomarolo (Trento),03/06/1730,1700
Ferdinando Carlo,,,
Ferdinando I,,,
Ferdinando I,,,
Ferdinando II,,,
Ferdinando II,,,
Ferdinando III,,,
Festi Lorenzo,,,
Filippo Bonacolsi,Mantova,Intorno alla meta del 1200,1200
Filzi Fabio,,,
Finotti Carlo,Sesto San Giovanni (Milano),19/07/1954,1900
Fontana Gregorio,,,
Formenti Raffaella,Brescia,1955,1900
Foschi Italo,,,
Fozzer Eraldo,Trento,1908,1900
Francesco Alberti Poia,Trento,22 maggio 1610,1600
Francesco Felice Alberti d'Enno,Trento,4 ottobre 1701,1700
Francesco Giuseppe d'Asburgo-Lorena,,,
Francesco II,,,
Francesco Leonardi,Vo' di Avio,08/01/1840,1800
Francesco Saverio Luschin,Teinach (Carinzia slava),3 dicembre 1781,1700
Frapporti Francesco,,,
Frideberto,,Prima meta dell'800,800
Furnival John,Londra,1933,1900
Gaidoaldo,,,
Galante Andrea,,,
Gamper Michael,,,
Gar Tommaso,,,
Garbari Augusto,,,
Garbari Tullio,Pergine Valsugana,14/08/1892,1800
Gazzoletti Antonio,,,
Gebardo,,Seconda meta dell'XI secolo,1000
Geniale,,Prima meta del 400,400
Gentilotti Benedetto,,,
Gentilotti Bernardino,,,
Gerardo da Manhac,Manhac,A cavallo tra il 1200 e il 1300,1300
Gerardo Oscasali,Cremona,Seconda meta del 1100,1100
Gerola Gino,Terragnolo,1923,1900
Gerola Giuseppe,,1877,1800
Gervaso,,,
Giacomelli Antonietta,,,
Giacomo,,Seconda meta dell'800,800
Gian Domenico Romagnosi,Salsomaggiore,1761,1700
Gianferrari,,,
Gianni Caproni,Massone di Arco,3 luglio 1886,1800
Giano Pirro Pincio,,,
Giolitti Antonio,,,
Giolitti Giovanni,,,
Giorgio di Lichtenstein,Nikolsburg (Moravia),Intorno alla meta del 1300,1300
Giorgio Hack,sconosciuto (in Slesia),A cavallo tra il 1300 e il 1400,1400
Giorgio Neideck,,Meta del 1400,1400
Giovan Battista Ferrari,Brescia,13 ottobre 1829,1800
Giovanelli Benedetto,,,
Giovanna Maria della Croce,,,
Giovanni Battista Lampi,Romeno,31/12/1751,1700
Giovanni Battista Trener,Fiera di Primiero,07/01/1877,1800
Giovanni Benedetto Gentilotti,Trento,11 luglio 1672,1600
Giovanni da Isny,,,
Giovanni da Pistoia,Pistoia,A cavallo tra il 1200 e il 1300,1300
Giovanni Giacomo Della Bona,Gorizia,18 novembre 1814,1800
Giovanni Hinderbach,Rauschenberg (Assia),14 agosto 1418,1400
Giovanni I,,A cavallo tra il 600 e il 700,700
Giovanni II,,Seconda meta dell'800,800
Giovanni Maria Sartori,Vicenza,11 luglio 1925,1900
Giovanni Michele Spaur,Mezzolombardo,7 luglio 1638,1600
Giovanni Nepomuceno de Tschiderer,Bolzano,15 aprile 1777,1700
Giovanni Segantini,Arco,15 gennaio 1858,1800
Giovino,,IV secolo,300
Gisolfo,,Verso la meta dell'800,800
Giulio III,,,
Giuseppe II,,,
Giuseppe Sebesta,Trento,24/07/1919,1900
Giuseppe Vittorio Alberti d'Enno,Pergine,24 luglio 1623,1600
Giustiniano,,,
Gozzer Giovanni,,,
Gratismo,,Prima meta del 500,500
Grazioli Giuseppe,,,
Gregorio I,,,
Gruber Karl,,,
Gschnitzer Franz,,,
Guadagnini Giuseppe,,,
Guetti Lorenzo,Vigo Lomaso,06/02/1847,1800
Gui Luigi,,,
Hafner Giovanni,,,
Halbherr Bernardino,,,
Halbherr Federico,Rovereto,20/2/1857,1800
Heimperto,,Seconda meta del 700,700
Hofer Andreas,,,
Iltigario,,Seconda meta del 700,700
Imbriani Matteo Renato,,,
"Ines ""Serena"" Pisoni",Trento,28 aprile 1913,1900
Innocenti Silvio,,,
Ippoliti Baldassarre,,,
Isgro' Emilio,Barcellona (Messina),1937,1900
Kathrein Theodor von,,,
Kessler Bruno,,,
La Fosca Francesco,San Lorenzo Bellizzi (Como),1957,1900
Lantramno,probabilmente Termeno,Inizio del 900,900
Larcher Gudo,,,
Lasta Attilio,Villalagarina,27/04/1886,1800
Laurence Feininger,Berlino,1909,1900
Leonardi Celestino,,,
Leopoldo d'Asburgo,,,
Leopoldo I,,,
Leopoldo II,,,
Libera Adalberto,Villa Lagarina,16 luglio 1903,1900
Lorenzoni Francesco,,,
Lotario,,,
Ludovico di Brandeburgo,,,
Ludovico il Pio,,,
Ludovico Madruzzo,Trento,1532,1500
Luigi Bressan,Sarche,9 febbraio 1940,1900
Lunelli Italo,,,
Lutero Martin,,,
Magnago Silvius,,,
Maguriano,,Seconda meta del 400,400
Magurio,,Seconda meta del 300,300
Mainardo di Neuhaus,,Prima meta del 1300,1300
Mainardo II,,,
Mainardo III,,,
Malfatti Andrea,Mori,1832,1800
Malfatti Bartolomeo,,,
Malfatti Valeriano,,,
Mammone,,Prima meta del 700,700
Manasse I,,Seconda meta del 500,500
Manasse II,Arles,A cavallo tra l'800 e il 900,900
Manci Giannantonio,Trento,14/12/1901,1900
Manci Sigismondo,,,
Mansueto Barcatta da Valfloriana,Valfloriana,27/05/1863,1800
Marchetti Giacomo,,,
Marchetti Giovanni,,,
Marco Pola,Roncegno (Trento),29 agosto 1906,1900
Margherita di Boemia,,,
Maria Teresa,,,
Mariani Michel'Angelo,,,
Mariano,,Prima meta del 700,700
Marighetto Ancilla,,,
Mario Pasi,Ravenna,21/07/1913,1900
Marsilli Francesco Antonio,,,
Martini Martino,Trento,1614,1600
Martirio,,,
Marzani Gino,,,
Massimilano I d'Asburgo,,,
Massimilano II,,,
Massimiliano II,,,
Massimino,,A cavallo tra il 600 e il 700,700
Mattioli,,,
Maurizio,,,
Mazzanti Gilberto,,,
Melotti Fausto,Rovereto,1901,1900
Menapace Luigi,,,
Mendini Bruno,,,
Menestrina Francesco,Trento,28/03/1872,1800
Menguzzato Clorinda,,,
Moggioli Umberto,Trento,1887,1800
Montano,,Seconda meta del 400,400
Moro Aldo,,,
Munari Bruno,Milano,24/10/1907,1900
Mussio Magdalo,Pisa,1925,1900
Mussolini Benito,,,
Napoleone Bonaparte,,,
Negrelli Luigi,Fiera di Primiero,23 gennaio 1799,1700
Nestore da Millano,,,
Nicolo Alreim da Brno,,,
Nicolo conte d'Arco,,,
Nicolo da Brno,Brno (Moravia),A cavallo tra il 1200 e il 1300,1300
Nicolo d'Arco,Arco,c.1492,1400
Nitti Saverio,,,
Nogarola Angela,,,
Oberdan Guglielmo,,,
Oberinzer Giovanni,,,
Oberinzer Ludovico,,,
Odescalco,,A cavallo tra il 700 e l'800,800
Odoacre,,,
Odorizzi Tullio,,,
Onestinghel Gino,,,
Onorio,,,
Orsi Paolo,,,
Orso,,Intorno alla meta del 700,700
Oss Mazzurana Paolo,,,
Ossana Giovanni,Denno,1870,1800
Ottolini Giuseppe,,,
Ottone Brentari,Strigno,4 novembre 1852,1800
Pancheri Gino,Trento,23/08/1905,1900
Pancheri Guido,,,
Panizza Augusto,,,
Paolo Diacono,,,
Paolo III,,,
Papaleoni Giuseppe,,,
Paride Lodron,Castel Noarna (Trento),13 febbraio 1586,1500
Pavone Tommaso,,,
Pecori-Giraldi Guglielmo,,,
Pedrotti Giovanni,Rovereto,26/05/1867,1800
Pedrotti Pietro,Rovereto,04/08/1875,1800
Pella Giuseppe,,,
Pellegrino,,Prima meta del 500,500
Perini Agostino,,,
Perini Ivo,,,
Pertarito,,,
Pervardo,,Prima meta dell'XI secolo,1000
Piaz Tita,,,
Piccolomini Enea Silvio,,,
Pietrapiana Gerolamo,,,
Pietro Vigilio Thun,Trento,13 dicembre 1724,1700
Pilati Carlo Antonio,,,
Piscel Antonio,,,
Polo da Mantova,,,
Polo Guido,Borgo Valsugana,1898,1800
Prati Eugenio,Caldonazzo,1842,1800
Prati Giovanni,,,
Probo,,Seconda meta del 400,400
Protaso,,,
Quaresima Enrico,Tuenno,24/03/1883,1800
Quartino,,Prima meta del 500,500
Quarto,,Seconda meta del 400,400
Raab Julius,,,
Ragilone,,,
Rainoardo,,Intorno alla meta del 900,900
Ratini Luigi,Trento,1880,1800
Reich Desiderio,,,
Riccabona Carlo de,,,
Riccabona Vittorio de,,,
Riccardo Zandonai,Sacco di Rovereto (Trento),1883,1800
Ricci Vittore,,,
Roberti Giacomo,Rovereto,20/01/1874,1800
Roberto da Sanseverino,,,
Rodolfo II,,,
Rodolfo IV d'Asburgo,,,
Romani Pietro,,,
Romanino (Girolamo Romani),,,
Romano,,Prima meta del 600,600
Romolo Augustolo,,,
Rosmini Antonio,Rovereto (Trento),24 marzo 1797,1700
Rossi Emiliano,,,
Rovisi Valentino,Moena,1715,1700
Ruperto,,,
Rustico,,A cavallo fra il 500 e il 600,600
Salomone,,Prima meta del 1100,1100
Salvadori Giovanni,,,
Salvotti Antonio,,,
Salvotti Scipione,,,
Sambazio,,A cavallo fra il 300 e il 400,400
San Vigilio,,sconosciuta (IV secolo),300
Sandri Giovanna,Roma,1923,1900
Sartori Giovanni,,,
Scalfaro Oscar Luigi,,,
Scanavino Emilio,Genova,1922,1900
Scelba Mario,,,
Scopoli Giovanni,,,
Scotoni Mario,,,
Secondo di Trento o di Non,,,
Segarizzi Arnaldo,Avio,10/08/1872,1800
Sighele Scipio,,,
Sigismondo Alfonso Thun,Castel Thun,7 novembre 1621,1600
Sigismondo d'Asburgo,,,
Sigismondo Francesco di Austria,Innsbruck,28 novembre 1630,1600
Simonetti Gianni Emilio,Roma,1940,1900
Sisedizio,,Seconda meta del 600,600
Sisinio,,,
Sodegerio da Tito,,,
Stablisiano,,A cavallo fra il 500 e il 600,600
Staccioli Mauro,Volterra (Pisa),11/02/1937,1900
Starace Achille,,,
Stefano da Cles,,,
Strosio Andrea,,,
Tambosi Giovanni Battista,,,
Taramelli Torquato,,,
Tartarotti Girolamo,,,
Tassilone II di Baviera,,,
Teodorico,,,
Teonesto,,,
Thun Franz,,,
Thunn Matteo,,,
Tiberino Gian Maria,,,
Tico Alcide,Trento,11/12/1911,1900
Togliatti Palmiro,,,
Tolomei Ettore,,,
Tovazzi Gian Grisostomo,,,
Turco Turcato Lazzari Giulia,,,
Turrini Giuseppe,Avio,5 aprile 1826,1800
Udalrico della Porta,,inizio del 1200,1200
Udalrico di Lichtenstein,,Prima meta del 1400,1400
Udalrico Frundsberg,,Prima meta del 1400,1400
Udalrico I,,Seconda meta del 900,900
Udalrico II,,Fine del 900,900
Ulrico di Scena,,,
Usingo,,,
Valentino,,A cavallo fra il 300 e il 400,400
Valerio,,Intorno alla meta del 400,400
Vannetti Clementino,,,
Vannetti Giuseppe Valeriano,,,
Verecondo,,Verso la seconda meta del 600,600
Villa Emilio,Affori (Milano),1914,1900
Vincenti Carlo,Viterbo,23/11/1946,1900
Vitale I,,Seconda meta del 500,500
Vitale II,,Verso la meta del 600,600
Vittorio Emanuele III,,,
von Felbger Johan Ignaz,,,
Weber Simone,Denno,10/11/1859,1800
Wolkenstein Teobaldo,,,
Zanello di Riva,,,
Zanini Luigi  detto Gigiotti,Vigo di Fassa,1893,1800
Zippel Vittorio,Trento,04/03/1860,1800
Zotti Raffaele,,,
