Germany,1452.4150602409634
Brazil,1252.5621686746993
Portugal,1204.5038554216867
Argentina,1361.8915662650609
Belgium,1153.9510843373491
Spain,1343.5037349397596
Poland,756.4872289156629
Switzerland,1061.148674698795
France,1042.9112048192778
Peru,761.3616867469882
Denmark,847.1216867469884
Colombia,1168.3595180722891
England,1091.069036144578
Mexico,937.050602409639
Croatia,1013.0372289156626
Sweden,801.3539759036141
Uruguay,1116.8568674698804
Iceland,658.6587951807229
Senegal,641.1557831325302
Costa Rica,774.7118072289156
Tunisia,696.0261445783136
Egypt,661.3844578313256
IR Iran,671.6675903614457
Serbia,689.2807228915657
Australia,635.5860240963851
Morocco,512.8428915662654
Nigeria,631.4139759036143
Panama,603.5786746987956
Japan,671.169759036145
Korea Republic,625.7638554216866
Saudi Arabia,433.46722891566253
Russia,818.9432530120481